id,date,row,variable,measure
10005216,20160128,1,table,1
10033216,20160128,2,table,3
10004216,20160128,3,table,3
10008216,20160128,4,table,5
10026216,20160128,5,table,1
10014216,20160128,6,table,4
10021216,20160128,7,table,5
10013216,20160128,8,table,2
10035216,20160128,9,table,4
10015216,20160128,10,table,5
10031216,20160128,11,table,2
10007216,20160128,12,table,4
10010216,20160128,13,table,3
10020216,20160128,14,table,3
10002216,20160128,15,table,1
10011216,20160128,16,table,3
10023216,20160128,17,table,2
10028216,20160128,18,table,3
10034216,20160128,19,table,1
10003216,20160128,20,table,6
10029216,20160128,21,table,2
10022216,20160128,22,table,6
10006216,20160128,23,table,6
10009216,20160128,24,table,5
10018216,20160128,25,table,3
10027216,20160128,26,table,6
10025216,20160128,27,table,6
10019216,20160128,28,table,4
10032216,20160128,29,table,3
10017216,20160128,30,table,3
NA,20160204,31,table,3
10034216,20160204,32,table,4
10004216,20160204,33,table,4
10035216,20160204,34,table,6
10018216,20160204,35,table,3
10002216,20160204,36,table,4
10008216,20160204,37,table,3
10011216,20160204,38,table,4
10006216,20160204,39,table,2
10005216,20160204,40,table,6
10023216,20160204,41,table,1
10007216,20160204,42,table,1
10031216,20160204,43,table,1
10027216,20160204,44,table,5
10021216,20160204,45,table,2
13251920,20160204,46,table,3
10022216,20160204,47,table,4
10020216,20160204,48,table,5
10009216,20160204,49,table,6
NA,20160204,50,table,6
10015216,20160204,51,table,2
10029216,20160204,52,table,1
10010216,20160204,53,table,6
10028216,20160204,54,table,2
10018216,20160204,55,table,5
10025216,20160204,56,table,6
10005216,20160211,57,table,5
10002216,20160211,58,table,3
13251925,20160211,59,table,1
10034216,20160211,60,table,3
10008216,20160211,61,table,2
10010216,20160211,62,table,1
10021216,20160211,63,table,2
10027216,20160211,64,table,1
NA,20160211,65,table,2
10009216,20160211,66,table,1
10018216,20160211,67,table,1
10017216,20160211,68,table,1
10028216,20160211,69,table,3
10007215,20160211,70,table,4
10004216,20160211,71,table,2
10013216,20160211,72,table,4
10015216,20160211,73,table,2
10020216,20160211,74,table,3
10011216,20160211,75,table,2
10018216,20160211,76,table,3
10025216,20160211,77,table,1
10023216,20160211,78,table,4
10001036,20160211,79,table,4
10029216,20160211,80,table,4
10014216,20160211,81,table,3
10005216,20160128,1,physical_feel,4
10033216,20160128,2,physical_feel,3
10004216,20160128,3,physical_feel,3
10008216,20160128,4,physical_feel,4
10026216,20160128,5,physical_feel,4
10014216,20160128,6,physical_feel,3
10021216,20160128,7,physical_feel,4
10013216,20160128,8,physical_feel,3
10035216,20160128,9,physical_feel,3
10015216,20160128,10,physical_feel,4
10031216,20160128,11,physical_feel,5
10007216,20160128,12,physical_feel,4
10010216,20160128,13,physical_feel,3
10020216,20160128,14,physical_feel,4
10002216,20160128,15,physical_feel,4
10011216,20160128,16,physical_feel,3
10023216,20160128,17,physical_feel,4
10028216,20160128,18,physical_feel,5
10034216,20160128,19,physical_feel,4
10003216,20160128,20,physical_feel,3
10029216,20160128,21,physical_feel,4
10022216,20160128,22,physical_feel,3
10006216,20160128,23,physical_feel,4
10009216,20160128,24,physical_feel,4
10018216,20160128,25,physical_feel,5
10027216,20160128,26,physical_feel,3
10025216,20160128,27,physical_feel,4
10019216,20160128,28,physical_feel,4
10032216,20160128,29,physical_feel,5
10017216,20160128,30,physical_feel,4
NA,20160204,31,physical_feel,3
10034216,20160204,32,physical_feel,4
10004216,20160204,33,physical_feel,3
10035216,20160204,34,physical_feel,2
10018216,20160204,35,physical_feel,5
10002216,20160204,36,physical_feel,4
10008216,20160204,37,physical_feel,4
10011216,20160204,38,physical_feel,3
10006216,20160204,39,physical_feel,4
10005216,20160204,40,physical_feel,4
10023216,20160204,41,physical_feel,5
10007216,20160204,42,physical_feel,4
10031216,20160204,43,physical_feel,5
10027216,20160204,44,physical_feel,3
10021216,20160204,45,physical_feel,3
13251920,20160204,46,physical_feel,3
10022216,20160204,47,physical_feel,3
10020216,20160204,48,physical_feel,3
10009216,20160204,49,physical_feel,4
NA,20160204,50,physical_feel,3
10015216,20160204,51,physical_feel,3
10029216,20160204,52,physical_feel,3
10010216,20160204,53,physical_feel,4
10028216,20160204,54,physical_feel,5
10018216,20160204,55,physical_feel,4
10025216,20160204,56,physical_feel,5
10005216,20160211,57,physical_feel,4
10002216,20160211,58,physical_feel,2
13251925,20160211,59,physical_feel,2
10034216,20160211,60,physical_feel,4
10008216,20160211,61,physical_feel,3
10010216,20160211,62,physical_feel,4
10021216,20160211,63,physical_feel,3
10027216,20160211,64,physical_feel,2
NA,20160211,65,physical_feel,3
10009216,20160211,66,physical_feel,2
10018216,20160211,67,physical_feel,5
10017216,20160211,68,physical_feel,3
10028216,20160211,69,physical_feel,5
10007215,20160211,70,physical_feel,4
10004216,20160211,71,physical_feel,4
10013216,20160211,72,physical_feel,2
10015216,20160211,73,physical_feel,3
10020216,20160211,74,physical_feel,5
10011216,20160211,75,physical_feel,4
10018216,20160211,76,physical_feel,3
10025216,20160211,77,physical_feel,3
10023216,20160211,78,physical_feel,5
10001036,20160211,79,physical_feel,5
10029216,20160211,80,physical_feel,3
10014216,20160211,81,physical_feel,4
10005216,20160128,1,emotional_feel,4
10033216,20160128,2,emotional_feel,3
10004216,20160128,3,emotional_feel,3
10008216,20160128,4,emotional_feel,5
10026216,20160128,5,emotional_feel,3
10014216,20160128,6,emotional_feel,3
10021216,20160128,7,emotional_feel,4
10013216,20160128,8,emotional_feel,4
10035216,20160128,9,emotional_feel,3
10015216,20160128,10,emotional_feel,3
10031216,20160128,11,emotional_feel,5
10007216,20160128,12,emotional_feel,4
10010216,20160128,13,emotional_feel,4
10020216,20160128,14,emotional_feel,4
10002216,20160128,15,emotional_feel,4
10011216,20160128,16,emotional_feel,3
10023216,20160128,17,emotional_feel,3
10028216,20160128,18,emotional_feel,5
10034216,20160128,19,emotional_feel,4
10003216,20160128,20,emotional_feel,3
10029216,20160128,21,emotional_feel,4
10022216,20160128,22,emotional_feel,3
10006216,20160128,23,emotional_feel,4
10009216,20160128,24,emotional_feel,4
10018216,20160128,25,emotional_feel,4
10027216,20160128,26,emotional_feel,5
10025216,20160128,27,emotional_feel,5
10019216,20160128,28,emotional_feel,4
10032216,20160128,29,emotional_feel,4
10017216,20160128,30,emotional_feel,3
NA,20160204,31,emotional_feel,4
10034216,20160204,32,emotional_feel,3
10004216,20160204,33,emotional_feel,3
10035216,20160204,34,emotional_feel,2
10018216,20160204,35,emotional_feel,5
10002216,20160204,36,emotional_feel,4
